               state	                soln	                  pH	                  pe	                  Ca	                  Cl	                   K	                N(5)	                  Na	
              i_soln	                   1	  6.994915300146e+00	  1.258744829173e+01	  5.999999999993e-04	  1.199999999999e-03	  1.001215802431e-12	  1.000033672162e-12	  1.000172185009e-12	
              i_exch	                  81	  6.994915300060e+00	  1.258744829173e+01	  5.999999999993e-04	  1.199999999999e-03	  1.001296962547e-12	  1.000035953864e-12	  1.000183762299e-12	
               react	                   1	  6.994915300145e+00	  1.258744826987e+01	  5.999999999993e-04	  1.199999999999e-03	  1.001222476545e-12	  1.000033672137e-12	  1.000172388351e-12	
              i_soln	                   2	  6.994915299266e+00	  1.256246550571e+01	  5.999999999998e-04	  1.200000000000e-03	  1.000325773280e-12	  1.000009022429e-12	  1.000046136834e-12	
              i_exch	                  82	  6.994915299242e+00	  1.256246550571e+01	  5.999999999998e-04	  1.200000000000e-03	  1.000347520062e-12	  1.000009633787e-12	  1.000049238959e-12	
               react	                   2	  6.994915299267e+00	  1.256246547832e+01	  5.999999999998e-04	  1.200000000000e-03	  1.000327561598e-12	  1.000009022400e-12	  1.000046191320e-12	
              i_soln	                   3	  6.994915301939e+00	  1.260930980397e+01	  5.999999999975e-04	  1.199999999998e-03	  1.004394704835e-12	  1.000121409610e-12	  1.000621644437e-12	
              i_exch	                  83	  6.994915301892e+00	  1.260930980397e+01	  5.999999999973e-04	  1.199999999999e-03	  1.004687996454e-12	  1.000129633666e-12	  1.000663429666e-12	
               react	                   3	  6.994915301939e+00	  1.260930978619e+01	  5.999999999975e-04	  1.199999999998e-03	  1.004418823562e-12	  1.000121409587e-12	  1.000622378350e-12	
              i_soln	                   4	  6.994915300864e+00	  1.259914823881e+01	  5.999999999987e-04	  1.199999999999e-03	  1.002306069356e-12	  1.000063786217e-12	  1.000326391806e-12	
              i_exch	                  84	  6.994915300771e+00	  1.259914823881e+01	  5.999999999986e-04	  1.199999999999e-03	  1.002459989667e-12	  1.000068107735e-12	  1.000348334202e-12	
               react	                   4	  6.994915300865e+00	  1.259914821918e+01	  5.999999999987e-04	  1.199999999999e-03	  1.002318726863e-12	  1.000063786193e-12	  1.000326777201e-12	
              i_soln	                   5	  6.994915303699e+00	  1.261983513133e+01	  5.999999999936e-04	  1.199999999997e-03	  1.011259602374e-12	  1.000309812727e-12	  1.001589636899e-12	
              i_exch	                  85	  6.994915303592e+00	  1.261983513133e+01	  5.999999999932e-04	  1.199999999997e-03	  1.012010736544e-12	  1.000330786608e-12	  1.001696436295e-12	
               react	                   5	  6.994915303699e+00	  1.261983511518e+01	  5.999999999936e-04	  1.199999999997e-03	  1.011321372756e-12	  1.000309812705e-12	  1.001591512717e-12	
              i_soln	                   6	  6.994915302698e+00	  1.261454061070e+01	  5.999999999961e-04	  1.199999999998e-03	  1.006793796777e-12	  1.000187332215e-12	  1.000960129939e-12	
              i_exch	                  86	  6.994915302647e+00	  1.261454061070e+01	  5.999999999959e-04	  1.199999999998e-03	  1.007247111263e-12	  1.000200018257e-12	  1.001024652533e-12	
               react	                   6	  6.994915302698e+00	  1.261454059378e+01	  5.999999999961e-04	  1.199999999998e-03	  1.006831075167e-12	  1.000187332192e-12	  1.000961263210e-12	
              i_soln	                   7	  6.994915305122e+00	  1.262609116189e+01	  5.999999999857e-04	  1.199999999996e-03	  1.025220451434e-12	  1.000690102116e-12	  1.003551157455e-12	
              i_exch	                  87	  6.994915305054e+00	  1.262609116189e+01	  5.999999999847e-04	  1.199999999996e-03	  1.026901987613e-12	  1.000736783458e-12	  1.003789582738e-12	
               react	                   7	  6.994915305123e+00	  1.262609116208e+01	  5.999999999856e-04	  1.199999999996e-03	  1.025358739598e-12	  1.000690102095e-12	  1.003555345148e-12	
              i_soln	                   8	  6.994915304348e+00	  1.262282270336e+01	  5.999999999908e-04	  1.199999999997e-03	  1.016197009609e-12	  1.000444529516e-12	  1.002283900629e-12	
              i_exch	                  88	  6.994915304237e+00	  1.262282270336e+01	  5.999999999902e-04	  1.199999999997e-03	  1.017277244397e-12	  1.000474612410e-12	  1.002437297110e-12	
               react	                   8	  6.994915304349e+00	  1.262282268770e+01	  5.999999999908e-04	  1.199999999997e-03	  1.016285845128e-12	  1.000444529494e-12	  1.002286594877e-12	
              i_soln	                   9	  6.994915306483e+00	  1.263025618198e+01	  5.999999999702e-04	  1.199999999995e-03	  1.052482684116e-12	  1.001425889708e-12	  1.007364646411e-12	
              i_exch	                  89	  6.994915306351e+00	  1.263025618198e+01	  5.999999999682e-04	  1.199999999995e-03	  1.055979418148e-12	  1.001522243942e-12	  1.007858693066e-12	
               react	                   9	  6.994915306483e+00	  1.263025618238e+01	  5.999999999700e-04	  1.199999999995e-03	  1.052770272562e-12	  1.001425889687e-12	  1.007373323849e-12	
              i_soln	                  10	  6.994915305696e+00	  1.262803450165e+01	  5.999999999801e-04	  1.199999999996e-03	  1.034943168615e-12	  1.000953056787e-12	  1.004912539184e-12	
              i_exch	                  90	  6.994915305620e+00	  1.262803450165e+01	  5.999999999788e-04	  1.199999999996e-03	  1.037272202476e-12	  1.001017495481e-12	  1.005242241405e-12	
               react	                  10	  6.994915305697e+00	  1.262803450194e+01	  5.999999999800e-04	  1.199999999996e-03	  1.035134711266e-12	  1.000953056766e-12	  1.004918330067e-12	
              i_soln	                  11	  6.994915307189e+00	  1.263322953590e+01	  5.999999999407e-04	  1.199999999993e-03	  1.104157064074e-12	  1.002805337752e-12	  1.014555144035e-12	
              i_exch	                  91	  6.994915306960e+00	  1.263322953590e+01	  5.999999999368e-04	  1.199999999993e-03	  1.111090824796e-12	  1.002994672269e-12	  1.015530558978e-12	
               react	                  11	  6.994915307189e+00	  1.263322952244e+01	  5.999999999404e-04	  1.199999999993e-03	  1.104727399695e-12	  1.002805337731e-12	  1.014572276298e-12	
              i_soln	                  12	  6.994915306884e+00	  1.263162318564e+01	  5.999999999596e-04	  1.199999999994e-03	  1.071028491509e-12	  1.001922206896e-12	  1.009948374594e-12	
              i_exch	                  92	  6.994915306709e+00	  1.263162318564e+01	  5.999999999569e-04	  1.199999999994e-03	  1.075759054319e-12	  1.002052026866e-12	  1.010615439447e-12	
               react	                  12	  6.994915306884e+00	  1.263162317171e+01	  5.999999999594e-04	  1.199999999994e-03	  1.071417573556e-12	  1.001922206876e-12	  1.009960090942e-12	
              i_soln	                  13	  6.994915306237e+00	  1.263545232823e+01	  5.999999998863e-04	  1.199999999991e-03	  1.199862853469e-12	  1.005327966902e-12	  1.027792014272e-12	
              i_exch	                  93	  6.994915306186e+00	  1.263545232823e+01	  5.999999998787e-04	  1.199999999991e-03	  1.213154332660e-12	  1.005687030265e-12	  1.029652275258e-12	
               react	                  13	  6.994915306237e+00	  1.263545231631e+01	  5.999999998857e-04	  1.199999999991e-03	  1.200955860163e-12	  1.005327966881e-12	  1.027824687763e-12	
              i_soln	                  14	  6.994915307014e+00	  1.263424115423e+01	  5.999999999211e-04	  1.199999999993e-03	  1.138678127319e-12	  1.003717908395e-12	  1.019336332877e-12	
              i_exch	                  94	  6.994915306821e+00	  1.263424115423e+01	  5.999999999158e-04	  1.199999999992e-03	  1.147905929042e-12	  1.003968668494e-12	  1.020631463907e-12	
               react	                  14	  6.994915307014e+00	  1.263424114132e+01	  5.999999999207e-04	  1.199999999993e-03	  1.139437215936e-12	  1.003717908374e-12	  1.019359080720e-12	
              i_soln	                  15	  6.994915305131e+00	  1.263717065749e+01	  5.999999997874e-04	  1.199999999987e-03	  1.373827319379e-12	  1.009847470969e-12	  1.051686755657e-12	
              i_exch	                  95	  6.994915305185e+00	  1.263717065749e+01	  5.999999997732e-04	  1.199999999987e-03	  1.398660049441e-12	  1.010509999565e-12	  1.055141688134e-12	
               react	                  15	  6.994915305130e+00	  1.263717064767e+01	  5.999999997863e-04	  1.199999999987e-03	  1.375869405125e-12	  1.009847470948e-12	  1.051747437845e-12	
              i_soln	                  16	  6.994915305732e+00	  1.263622920382e+01	  5.999999998505e-04	  1.199999999990e-03	  1.262870889582e-12	  1.006970378243e-12	  1.036460283930e-12	
              i_exch	                  96	  6.994915305748e+00	  1.263622920382e+01	  5.999999998405e-04	  1.199999999989e-03	  1.280343779370e-12	  1.007439774643e-12	  1.038899262049e-12	
               react	                  16	  6.994915305731e+00	  1.263622919273e+01	  5.999999998497e-04	  1.199999999990e-03	  1.264307748884e-12	  1.006970378223e-12	  1.036503121969e-12	
              i_soln	                  17	  6.994915304347e+00	  1.263853110142e+01	  5.999999996105e-04	  1.199999999980e-03	  1.685120381022e-12	  1.017804128568e-12	  1.094112806644e-12	
              i_exch	                  97	  6.994915304517e+00	  1.263853110141e+01	  5.999999995846e-04	  1.199999999979e-03	  1.730574618797e-12	  1.018999702885e-12	  1.100394000562e-12	
               react	                  17	  6.994915304348e+00	  1.263853109494e+01	  5.999999996086e-04	  1.199999999980e-03	  1.688858248382e-12	  1.017804128547e-12	  1.094223129087e-12	
              i_soln	                  18	  6.994915304760e+00	  1.263778258889e+01	  5.999999997231e-04	  1.199999999985e-03	  1.486968729614e-12	  1.012750365619e-12	  1.067134702560e-12	
              i_exch	                  98	  6.994915304854e+00	  1.263778258889e+01	  5.999999997046e-04	  1.199999999984e-03	  1.519299039273e-12	  1.013607473003e-12	  1.071619153657e-12	
               react	                  18	  6.994915304761e+00	  1.263778258030e+01	  5.999999997217e-04	  1.199999999985e-03	  1.489627368611e-12	  1.012750365599e-12	  1.067213467140e-12	
              i_soln	                  19	  6.994915303987e+00	  1.263962757033e+01	  5.999999992986e-04	  1.199999999966e-03	  2.234703434596e-12	  1.031599130185e-12	  1.168369652675e-12	
              i_exch	                  99	  6.994915304072e+00	  1.263962757033e+01	  5.999999992521e-04	  1.199999999964e-03	  2.316506441675e-12	  1.033716577691e-12	  1.179587737534e-12	
               react	                  19	  6.994915303988e+00	  1.263962756903e+01	  5.999999992951e-04	  1.199999999966e-03	  2.241430393531e-12	  1.031599130165e-12	  1.168566686320e-12	
              i_soln	                  20	  6.994915304140e+00	  1.263902218985e+01	  5.999999994967e-04	  1.199999999975e-03	  1.885475291374e-12	  1.022854639812e-12	  1.121238629773e-12	
              i_exch	                 100	  6.994915304306e+00	  1.263902218985e+01	  5.999999994633e-04	  1.199999999973e-03	  1.944185698470e-12	  1.024387921247e-12	  1.129324095419e-12	
               react	                  20	  6.994915304140e+00	  1.263902218533e+01	  5.999999994943e-04	  1.199999999975e-03	  1.890303261776e-12	  1.022854639791e-12	  1.121380642317e-12	
              i_soln	                  21	  6.994915303462e+00	  1.264052447278e+01	  5.999999987550e-04	  1.199999999943e-03	  3.193627534591e-12	  1.055191543059e-12	  1.296701966497e-12	
              i_exch	                 101	  6.994915302927e+00	  1.264052447278e+01	  5.999999986725e-04	  1.199999999940e-03	  3.338743959339e-12	  1.058881298265e-12	  1.316433764312e-12	
               react	                  21	  6.994915303462e+00	  1.264052446611e+01	  5.999999987488e-04	  1.199999999943e-03	  3.205560986290e-12	  1.055191543038e-12	  1.297048534392e-12	
              i_soln	                  22	  6.994915303805e+00	  1.264002872002e+01	  5.999999990998e-04	  1.199999999958e-03	  2.585221771743e-12	  1.040263777296e-12	  1.215384912051e-12	
              i_exch	                 102	  6.994915303703e+00	  1.264002872001e+01	  5.999999990402e-04	  1.199999999955e-03	  2.690177201471e-12	  1.042959050207e-12	  1.229723622210e-12	
               react	                  22	  6.994915303805e+00	  1.264002870833e+01	  5.999999990954e-04	  1.199999999958e-03	  2.593852638652e-12	  1.040263777275e-12	  1.215636756137e-12	
              i_soln	                  23	  6.994915302853e+00	  1.264126569106e+01	  5.999999978174e-04	  1.199999999903e-03	  4.849367265695e-12	  1.095041315824e-12	  1.515977481795e-12	
              i_exch	                 103	  6.994915302370e+00	  1.264126569106e+01	  5.999999976732e-04	  1.199999999897e-03	  5.103605606189e-12	  1.101379003379e-12	  1.550222708205e-12	
               react	                  23	  6.994915302853e+00	  1.264126568606e+01	  5.999999978067e-04	  1.199999999903e-03	  4.870274209732e-12	  1.095041315802e-12	  1.516578962520e-12	
              i_soln	                  24	  6.994915303205e+00	  1.264085550883e+01	  5.999999984114e-04	  1.199999999928e-03	  3.800303491242e-12	  1.069869140271e-12	  1.377245502811e-12	
              i_exch	                 104	  6.994915302569e+00	  1.264085550883e+01	  5.999999983063e-04	  1.199999999924e-03	  3.985420151371e-12	  1.074534877539e-12	  1.402311235579e-12	
               react	                  24	  6.994915303205e+00	  1.264085550751e+01	  5.999999984035e-04	  1.199999999928e-03	  3.815526307891e-12	  1.069869140250e-12	  1.377685755560e-12	
              i_soln	                  25	  6.994915302716e+00	  1.264188257538e+01	  5.999999962160e-04	  1.199999999837e-03	  7.681492319180e-12	  1.161585269671e-12	  1.886779954807e-12	
              i_exch	                 105	  6.994915301971e+00	  1.264188257538e+01	  5.999999959664e-04	  1.199999999827e-03	  8.122024194424e-12	  1.172330590813e-12	  1.945507520541e-12	
               react	                  25	  6.994915302716e+00	  1.264188256820e+01	  5.999999961974e-04	  1.199999999837e-03	  7.717718858788e-12	  1.161585269648e-12	  1.887811441603e-12	
              i_soln	                  26	  6.994915302721e+00	  1.264154126469e+01	  5.999999972292e-04	  1.199999999879e-03	  5.889328677814e-12	  1.119616578629e-12	  1.652506826724e-12	
              i_exch	                 106	  6.994915302210e+00	  1.264154126469e+01	  5.999999970463e-04	  1.199999999871e-03	  6.212005318928e-12	  1.127583285774e-12	  1.695771714092e-12	
               react	                  26	  6.994915302721e+00	  1.264154125554e+01	  5.999999972155e-04	  1.199999999879e-03	  5.915863552451e-12	  1.119616578607e-12	  1.653266728133e-12	
              i_soln	                  27	  6.994915302663e+00	  1.264240044157e+01	  5.999999935039e-04	  1.199999999727e-03	  1.248455267736e-11	  1.271526778128e-12	  2.507868753731e-12	
              i_exch	                 107	  6.994915301584e+00	  1.264240044156e+01	  5.999999930762e-04	  1.199999999709e-03	  1.324038892772e-11	  1.289529385060e-12	  2.607497020797e-12	
               react	                  27	  6.994915302664e+00	  1.264240043477e+01	  5.999999934720e-04	  1.199999999727e-03	  1.254670784380e-11	  1.271526778103e-12	  2.509618617550e-12	
              i_soln	                  28	  6.994915302700e+00	  1.264211346491e+01	  5.999999952178e-04	  1.199999999796e-03	  9.448677263760e-12	  1.202289484949e-12	  2.115973492384e-12	
              i_exch	                 108	  6.994915301806e+00	  1.264211346491e+01	  5.999999949026e-04	  1.199999999783e-03	  1.000527390648e-11	  1.215723917333e-12	  2.189803580191e-12	
               react	                  28	  6.994915302701e+00	  1.264211345930e+01	  5.999999951943e-04	  1.199999999796e-03	  9.494448231782e-12	  1.202289484925e-12	  2.117270238809e-12	
              i_soln	                  29	  6.994915302171e+00	  1.264283606856e+01	  5.999999889473e-04	  1.199999999547e-03	  2.056657885733e-11	  1.451356922923e-12	  3.539018130874e-12	
