               state	                soln	                  pH	                  pe	                C(4)	                  Ca	                  Mg	                  Cl	             Calcite	           d_Calcite	       Dolomite(dis)	     d_Dolomite(dis)	
              i_soln	                   1	  8.780115931816e+00	 -4.724682710182e+00	  8.609143327465e-06	  8.072006933465e-06	  9.856530897220e-04	  1.970231906641e-03	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                   1	  8.780115931816e+00	 -4.724465657259e+00	  8.609143327464e-06	  8.072006933465e-06	  9.856530897220e-04	  1.970231906641e-03	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
              i_soln	                   2	  8.228022092322e+00	 -4.542276769620e+00	  2.306886207188e-06	  2.162960944201e-06	  9.961557569771e-04	  1.992023663424e-03	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                   2	  8.228022092374e+00	 -4.542255634687e+00	  2.306886206903e-06	  2.162960944201e-06	  9.961557569771e-04	  1.992023663424e-03	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
              i_soln	                   3	  9.211854903608e+00	 -4.806870829691e+00	  2.514029596532e-05	  2.396802220025e-05	  9.568396564502e-04	  1.911334765326e-03	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                   3	  9.211854903608e+00	 -4.805776742122e+00	  2.514029596532e-05	  2.396802220025e-05	  9.568396564502e-04	  1.911334765326e-03	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
              i_soln	                   4	  8.999580211051e+00	  8.902462931196e+00	  1.472733703256e-05	  1.391465548794e-05	  9.751183723361e-04	  1.948611381557e-03	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                   4	  8.999580211051e+00	  8.959309336314e+00	  1.472733703256e-05	  1.391465548794e-05	  9.751183723361e-04	  1.948611381557e-03	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
              i_soln	                   5	  9.503161694270e+00	 -5.033251540230e+00	  5.449435400631e-05	  5.073227241055e-05	  9.144925381414e-04	  1.821460913000e-03	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                   5	  9.503161694270e+00	 -5.032868757651e+00	  5.449435400631e-05	  5.073227241055e-05	  9.144925381414e-04	  1.821460913000e-03	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
              i_soln	                   6	  9.347457318393e+00	 -4.560744638158e+00	  3.579583604882e-05	  3.383327292191e-05	  9.405950131372e-04	  1.877264899958e-03	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                   6	  9.347457318393e+00	 -4.561944658927e+00	  3.579583604882e-05	  3.383327292191e-05	  9.405950131372e-04	  1.877264899958e-03	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
