               state	                soln	                  pH	                  pe	          Synthetica	          Syntheticb	          k_Productd	         dk_Productd	
              i_soln	                   1	  7.000155256106e+00	  1.131308490191e+01	  4.950839656030e-01	  4.950839656030e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                   1	  7.000299785604e+00	  1.131378449557e+01	  4.903880269824e-01	  4.903880269824e-01	  1.030312735199e+00	  4.695938619736e-03	
              i_soln	                   2	  7.000041595305e+00	  1.133205474414e+01	  4.986827525534e-01	  4.986827525534e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                   2	  7.000185913258e+00	  1.133221510862e+01	  4.939542856942e-01	  4.939542856942e-01	  1.042153796054e+00	  4.728466858792e-03	
              i_soln	                   3	  7.000352847654e+00	  1.122648918627e+01	  4.888986417197e-01	  4.888986417197e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                   3	  7.000497734579e+00	  1.123498212323e+01	  4.842586618760e-01	  4.842586618760e-01	  1.010005962115e+00	  4.639979842888e-03	
              i_soln	                   4	  7.000238655872e+00	  1.109221176644e+01	  4.924623210064e-01	  4.924623210064e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                   4	  7.000383338010e+00	  1.109987792613e+01	  4.877900924843e-01	  4.877900924843e-01	  1.021695026127e+00	  4.672228521338e-03	
              i_soln	                   5	  7.000551343093e+00	 -1.532528757628e+00	  4.827740095820e-01	  4.827740095820e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                   5	  7.000696575143e+00	 -1.538642352259e+00	  4.781895039283e-01	  4.781895039283e-01	  9.899991705000e-01	  4.584505653038e-03	
              i_soln	                   6	  7.000436631894e+00	  1.127863822845e+01	  4.863026664975e-01	  4.863026664975e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                   6	  7.000581666087e+00	  1.127785307590e+01	  4.816861919988e-01	  4.816861919988e-01	  1.001511517161e+00	  4.616474497921e-03	
              i_soln	                   7	  7.000750722439e+00	 -2.042478626995e+00	  4.767099084235e-01	  4.767099084235e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                   7	  7.000896288127e+00	 -2.037130365281e+00	  4.721803920329e-01	  4.721803920329e-01	  9.703091695175e-01	  4.529516389933e-03	
              i_soln	                   8	  7.000635503354e+00	  1.116899815728e+01	  4.802036378029e-01	  4.802036378029e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                   8	  7.000780877934e+00	  1.114992908037e+01	  4.756424325765e-01	  4.756424325765e-01	  9.816376925633e-01	  4.561205225699e-03	
              i_soln	                   9	  7.000950965645e+00	  1.124128911622e+01	  4.707061642964e-01	  4.707061642964e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                   9	  7.001096852761e+00	  1.123955840319e+01	  4.662311520414e-01	  4.662311520414e-01	  9.509403609874e-01	  4.475012254307e-03	
              i_soln	                  10	  7.000835250259e+00	  1.127860067451e+01	  4.741650680673e-01	  4.741650680673e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  10	  7.000980953288e+00	  1.126966654738e+01	  4.696586470856e-01	  4.696586470856e-01	  9.620833206914e-01	  4.506420981063e-03	
              i_soln	                  11	  7.001152052550e+00	  1.135901653239e+01	  4.647625919192e-01	  4.647625919192e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  11	  7.001298249262e+00	  1.135572870799e+01	  4.603415985946e-01	  4.603415985946e-01	  9.318927995434e-01	  4.420993324017e-03	
              i_soln	                  12	  7.001035852517e+00	  1.119655589191e+01	  4.681867784057e-01	  4.681867784057e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  12	  7.001181872155e+00	  1.117942708059e+01	  4.637346564935e-01	  4.637346564935e-01	  9.428504717844e-01	  4.452121911548e-03	
              i_soln	                  13	  7.001353962986e+00	 -1.481766640820e+00	  4.588789953176e-01	  4.588789953176e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  13	  7.001500457647e+00	  1.128487650693e+01	  4.545115357577e-01	  4.545115357577e-01	  9.131646611330e-01	  4.367459559307e-03	
              i_soln	                  14	  7.001237289948e+00	  1.118929501631e+01	  4.622685789575e-01	  4.622685789575e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  14	  7.001383614003e+00	  1.117392031936e+01	  4.578702709120e-01	  4.578702709120e-01	  9.239382420140e-01	  4.398308044824e-03	
              i_soln	                  15	  7.001556676665e+00	  1.120692287307e+01	  4.530551681712e-01	  4.530551681712e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  15	  7.001703457195e+00	  1.121674582913e+01	  4.487407573651e-01	  4.487407573651e-01	  8.947531670285e-01	  4.314410805467e-03	
              i_soln	                  16	  7.001439542355e+00	 -1.932662789720e+00	  4.564102693379e-01	  4.564102693379e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  16	  7.001586159276e+00	 -1.885711261103e+00	  4.520652900450e-01	  4.520652900450e-01	  9.053443369434e-01	  4.344979292268e-03	
              i_soln	                  17	  7.001760173201e+00	  1.111359133701e+01	  4.472908940857e-01	  4.472908940857e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  17	  7.001907227896e+00	  1.113932478164e+01	  4.430290472903e-01	  4.430290472903e-01	  8.766549994971e-01	  4.261846794828e-03	
              i_soln	                  18	  7.001642589399e+00	  1.120221954927e+01	  4.506116389369e-01	  4.506116389369e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  18	  7.001789487292e+00	  1.120052342270e+01	  4.463195034851e-01	  4.463195034851e-01	  8.870657179124e-01	  4.292135451192e-03	
              i_soln	                  19	  7.001964432144e+00	  1.127081947966e+01	  4.415859468470e-01	  4.415859468470e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  19	  7.002111749321e+00	  1.127842623247e+01	  4.373761796979e-01	  4.373761796979e-01	  8.588665167423e-01	  4.209767148637e-03	
              i_soln	                  20	  7.001846410663e+00	  1.126905165142e+01	  4.448724671790e-01	  4.448724671790e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  20	  7.001993577735e+00	  1.126184373638e+01	  4.406326909718e-01	  4.406326909718e-01	  8.690989128193e-01	  4.239776206750e-03	
